t,u,v,w
4.48,-0.0428,-0.061,-0.00205
4.49,-0.0428,-0.0606,-0.00205
4.5,-0.0428,-0.0741,0.00675
4.51,-0.0428,-0.0704,0.016675
4.52,-0.0428,-0.0704,0.016675
4.53,-0.043,-0.0704,0.016675
4.54,-0.043,-0.0704,0.016675
4.55,-0.0428,-0.0704,0.016675
4.56,-0.0428,-0.0704,0.016675
4.57,-0.0379,-0.0704,0.016675
4.58,0.0112,-0.0704,0.016675
4.59,0.0112,-0.0704,0.016675
4.6,0.0112,-0.0667,0.016675
4.61,0.0112,0.0047,0.016675
4.62,0.0112,0.0074,0.016675
4.63,0.0112,0.01,0.016675
4.64,0.0112,0.0388,0.016675
4.65,0.0112,0.0388,0.016675
4.66,0.0112,0.0388,0.016675
4.67,0.0112,0.039,0.016675
4.68,0.011,0.039,0.016675
4.69,0.0112,0.0388,0.016675
4.7,0.011,0.039,0.016675
4.71,0.0112,0.039,0.016675
4.72,0.0112,0.0388,0.0266
4.73,0.0604,0.0677,0.014225
4.74,0.0328,0.0194,0.014225
4.75,0.0328,-0.0289,0.014225
4.76,0.0051,-0.0402,0.014225
4.77,0.0058,-0.0516,0.014225
4.78,0.0065,-0.0305,0.014225
4.79,-0.0871,-0.0305,0.014225
4.8,0.0038,-0.0305,0.014225
4.81,0.0004,-0.0094,0.014225
4.82,-0.003,-0.0024,0.014225
4.83,-0.0158,0.0046,0.014225
4.84,-0.0158,-0.0121,0.014225
4.85,-0.0287,-0.0288,0.014225
4.86,-0.0337,-0.0288,0.014225
4.87,-0.0208,-0.0073,0.014225
4.88,-0.0208,-0.0073,0.014225
4.89,-0.0208,0.0142,0.014225
4.9,-0.0208,0.0142,0.014225
4.91,-0.0208,0.0058,0.014225
4.92,-0.0208,0.0058,0.014225
4.93,-0.0208,0.0058,0.014225
4.94,-0.0208,0.0058,0.014225
4.95,-0.0208,-0.0027,0.014225
4.96,-0.008,-0.0136,0.014225
4.97,-0.0144,-0.0244,0.014225
4.98,-0.0144,-0.0357,0.014225
4.99,-0.0144,-0.0357,0.014225
5.0,-0.0144,-0.0357,0.014225
5.01,-0.0144,-0.0357,0.014225
5.02,-0.0209,-0.0357,0.014225
5.03,0.0104,-0.0357,0.014
5.04,0.01,-0.036,0.014225
5.05,0.0104,-0.0357,0.014225
5.06,0.0104,-0.047,0.014225
5.07,0.0104,-0.0492,0.014225
5.08,0.0104,-0.0492,0.014225
5.09,0.0104,-0.0492,0.014225
5.1,0.0104,-0.0492,0.014225
5.11,0.0104,-0.05,0.014
5.12,0.0104,-0.0514,0.014225
5.13,0.0104,-0.0514,0.014225
5.14,0.0104,-0.0447,0.014225
5.15,0.0104,-0.0447,0.014225
5.16,0.0104,-0.038,0.014225
5.17,0.0104,-0.0248,0.014225
5.18,0.01,-0.025,0.014225
5.19,0.0104,-0.0248,0.014225
5.2,0.0104,-0.0248,0.014225
5.21,0.0104,-0.0248,0.014225
5.22,0.0104,-0.0116,0.014225
5.23,0.0417,-0.0116,0.014225
5.24,0.0262,-0.0242,0.014225
5.25,0.0262,-0.0242,0.014225
5.26,0.0262,-0.0242,0.014225
5.27,0.0262,-0.0242,0.014225
5.28,0.0262,-0.0242,0.014225
5.29,0.0262,-0.0242,0.014225
5.3,0.0262,-0.0242,0.014225
5.31,0.0262,-0.0242,0.014225
5.32,0.0262,-0.0242,0.014225
5.33,0.0262,-0.0242,0.014225
5.34,0.0262,-0.0242,0.014225
5.35,0.0262,-0.0242,0.014225
5.36,0.0262,-0.0242,0.014225
5.37,0.0262,-0.0242,0.014225
5.38,0.0262,-0.0242,0.014225
5.39,0.0106,-0.0242,0.014225
5.4,-0.0044,-0.0242,0.014225
5.41,-0.0044,-0.0368,0.014225
5.42,-0.0044,-0.0294,0.014225
5.43,-0.0044,-0.0294,0.014
5.44,-0.0044,-0.022,0.014225
5.45,-0.0044,-0.025,0.014225
5.46,-0.0044,-0.025,0.014225
5.47,-0.0044,-0.0288,0.014225
5.48,-0.0044,-0.0356,0.014225
5.49,-0.0044,-0.0137,0.014225
5.5,-0.0044,0.0082,0.014225
5.51,-0.0044,0.0022,0.014225
5.52,-0.0044,-0.0038,0.014225
5.53,-0.0044,-0.0062,0.014225
5.54,-0.0044,-0.0062,0.014225
5.55,-0.0193,-0.0085,0.014225
5.56,-0.0416,-0.004,0.014
5.57,-0.053,0.0005,0.014225
5.58,-0.053,0.0005,0.014225
5.59,-0.0639,0.0096,0.014225
5.6,-0.066,-0.0002,0.014225
5.61,-0.066,-0.0002,0.014225
5.62,-0.066,-0.0002,0.014225
5.63,-0.066,-0.0002,0.014225
5.64,-0.066,-0.0002,0.014225
5.65,-0.066,-0.0002,0.014225
5.66,-0.066,-0.01,0.014225
5.67,-0.0681,-0.009,0.014225
5.68,-0.052,-0.009,0.014225
5.69,-0.0369,-0.009,0.014225
5.7,-0.0369,-0.008,0.014225
5.71,-0.0369,-0.001,0.014225
5.72,-0.0369,0.0058,0.014225
5.73,-0.0369,0.0058,0.014225
5.74,-0.0369,0.0058,0.014225
5.75,-0.0369,0.0058,0.014225
5.76,-0.0369,0.0058,0.014225
5.77,-0.0369,0.0058,0.014225
5.78,-0.0369,0.0058,0.014225
5.79,-0.0369,0.0058,0.014
5.8,-0.0369,0.0058,0.014225
5.81,-0.0369,0.0058,0.014225
5.82,-0.0369,0.013,0.014225
5.83,-0.0369,0.013,0.014225
5.84,-0.0369,0.0195,0.014225
5.85,-0.0369,0.0038,0.014225
5.86,-0.0057,0.0038,0.014225
5.87,0.0148,0.0038,0.014225
5.88,0.0148,0.0038,0.014225
5.89,0.0148,0.0038,0.014225
5.9,0.0148,0.0038,0.014225
5.91,0.0148,0.004,0.014
5.92,0.015,0.0038,0.014225
5.93,0.0148,0.0038,0.014225
5.94,0.0148,0.0038,0.014225
5.95,0.0148,0.004,0.014225
5.96,0.0148,0.0038,0.014225
5.97,0.0148,-0.012,0.00185
5.98,0.0352,-0.012,-0.013049999999999999
5.99,-0.005,-0.0024,-0.013049999999999999
6.0,-0.005,-0.0024,-0.013049999999999999
6.01,-0.0453,-0.0024,-0.013049999999999999
6.02,-0.039,-0.0024,-0.013049999999999999
6.03,-0.039,-0.0024,-0.013049999999999999
6.04,-0.039,0.0073,-0.013049999999999999
6.05,-0.039,0.0073,-0.013049999999999999
6.06,-0.039,0.0014,-0.013049999999999999
6.07,-0.039,0.0014,-0.013049999999999999
6.08,-0.039,0.0014,-0.013049999999999999
6.09,-0.039,0.0014,-0.013
6.1,-0.039,0.0014,-0.013
6.11,-0.039,0.0014,-0.013049999999999999
6.12,-0.039,0.0014,-0.013049999999999999
6.13,-0.039,0.0014,-0.013049999999999999
6.14,-0.039,0.0014,-0.013049999999999999
6.15,-0.039,0.0014,-0.013049999999999999
6.16,-0.039,0.0014,-0.013049999999999999
6.17,-0.039,0.0014,-0.013049999999999999
6.18,-0.039,0.0014,-0.013049999999999999
6.19,-0.039,0.001,-0.013049999999999999
6.2,-0.0326,0.0014,-0.013049999999999999
6.21,-0.0499,0.0014,-0.013049999999999999
6.22,-0.0499,0.0014,-0.013049999999999999
6.23,-0.0499,0.0014,-0.013049999999999999
6.24,-0.0673,0.0014,-0.013049999999999999
6.25,-0.0612,0.0014,-0.013049999999999999
6.26,-0.055,0.0014,-0.013049999999999999
6.27,-0.0413,-0.0046,-0.02795
6.28,-0.0422,-0.0038,-0.023975
6.29,-0.0434,-0.0038,-0.023975
6.3,-0.0434,-0.0038,-0.023975
6.31,-0.0434,-0.0038,-0.023975
6.32,-0.0434,-0.0038,-0.023975
6.33,-0.0434,-0.003,-0.023975
6.34,-0.0434,-0.003,-0.023975
6.35,-0.0434,-0.0042,-0.023975
6.36,-0.0434,-0.001,-0.023975
