Timezero,U,V,W,U_avg,V_avg,W_avg,U',V',W',U'',V'',W'',U'V',V'W',W'U',U''_Avg,V''_Avg,W''_Avg,U'V'_Avg,V'W'_Avg,W'U'_Avg,TKE
0.775,147.89,-63.7025,22.125,104.705,1.468,17.678,43.185,-65.171,4.447,1864.944,4247.194,19.776,-2814.388,-289.813,192.044,2095.512,328.399,179.083,118.966,65.928,70.143,1301.497
0.8,157.48,-17.1025,21.535,104.807,1.47,17.678,52.673,-18.572,3.857,2774.445,344.938,14.876,-978.269,-71.634,203.16,2095.853,328.403,179.074,118.991,65.926,70.183,1301.665
0.825,163.1425,-16.2075,19.0625,104.909,1.472,17.677,58.234,-17.68,1.386,3391.141,312.565,1.92,-1029.539,-24.495,80.683,2096.185,328.405,179.064,119.016,65.924,70.222,1301.827
0.85,170.27,-60.775,17.93,105.012,1.475,17.677,65.258,-62.25,0.253,4258.607,3875.062,0.064,-4062.311,-15.749,16.51,2096.509,328.406,179.053,119.041,65.921,70.261,1301.984
0.875,176.455,-85.1925,19.68,105.114,1.477,17.677,71.341,-86.669,2.003,5089.538,7511.602,4.012,-6183.089,-173.599,142.896,2096.824,328.406,179.042,119.065,65.918,70.299,1302.136
0.9,181.315,-82.02,22.45,105.216,1.479,17.677,76.099,-83.499,4.773,5791.058,6972.083,22.782,-6354.19,-398.541,363.221,2097.13,328.404,179.03,119.089,65.915,70.338,1302.282
0.925,184.1975,-62.435,23.9825,105.318,1.482,17.677,78.879,-63.917,6.306,6221.976,4085.383,39.759,-5041.741,-403.029,497.375,2097.428,328.401,179.017,119.112,65.912,70.376,1302.423
0.95,187.32,-13.965,26.38,105.42,1.484,17.677,81.9,-15.449,8.703,6707.61,238.672,75.742,-1265.273,-134.453,712.776,2097.717,328.396,179.003,119.135,65.908,70.413,1302.558
0.975,190.2175,42.5325,28.2475,105.522,1.486,17.676,84.695,41.047,10.572,7173.328,1684.815,111.757,3476.454,433.923,895.358,2097.997,328.39,178.989,119.157,65.904,70.451,1302.688
1.0,192.6075,81.5225,29.1675,105.624,1.489,17.676,86.983,80.033,11.492,7566.129,6405.361,132.055,6961.594,919.705,999.571,2098.269,328.383,178.974,119.178,65.9,70.488,1302.813
1.025,194.9475,91.2825,31.2825,105.726,1.491,17.676,89.221,89.791,13.607,7960.476,8062.513,185.137,8011.332,1221.748,1213.992,2098.533,328.374,178.958,119.2,65.896,70.525,1302.933
1.05,198.02,92.3275,33.605,105.828,1.493,17.676,92.192,90.835,15.929,8499.365,8250.906,253.733,8374.214,1446.903,1468.526,2098.787,328.364,178.941,119.22,65.891,70.561,1303.046
1.075,200.405,87.8325,35.57,105.93,1.495,17.675,94.475,86.337,17.895,8925.526,7454.164,320.231,8156.735,1545.01,1690.63,2099.033,328.352,178.924,119.241,65.886,70.597,1303.154
1.1,202.0125,80.985,35.9175,106.032,1.498,17.675,95.98,79.487,18.242,9212.256,6318.183,332.789,7629.202,1450.042,1750.924,2099.271,328.339,178.905,119.26,65.88,70.633,1303.258
1.125,203.8075,73.8675,34.5425,106.133,1.5,17.675,97.675,72.368,16.867,9540.308,5237.055,284.513,7068.459,1220.659,1647.525,2099.499,328.324,178.886,119.28,65.875,70.669,1303.354
1.15,204.65,66.505,30.5775,106.235,1.502,17.674,98.415,65.003,12.904,9685.512,4225.39,166.5,6397.27,838.766,1269.898,2099.719,328.308,178.867,119.298,65.869,70.704,1303.447
1.175,205.1925,59.8725,28.185,106.337,1.505,17.674,98.855,58.367,10.511,9772.41,3406.765,110.481,5769.948,613.501,1039.07,2099.931,328.291,178.846,119.317,65.862,70.739,1303.534
1.2,204.8525,31.715,26.205,106.438,1.507,17.674,98.414,30.208,8.531,9685.414,912.523,72.778,2972.905,257.704,839.574,2100.134,328.272,178.825,119.334,65.856,70.774,1303.615
1.225,205.1825,-25.84,19.595,106.54,1.509,17.673,98.642,-27.349,1.922,9730.343,747.968,3.694,-2697.774,-52.565,189.591,2100.328,328.252,178.803,119.352,65.849,70.808,1303.691
1.25,206.3425,-56.8,19.115,106.641,1.511,17.673,99.701,-58.311,1.442,9940.389,3400.173,2.079,-5813.694,-84.084,143.77,2100.513,328.23,178.78,119.369,65.842,70.842,1303.762
1.275,208.2925,-79.445,18.8125,106.743,1.514,17.673,101.549,-80.959,1.14,10312.301,6554.36,1.298,-8221.346,-92.253,115.716,2100.69,328.207,178.757,119.385,65.834,70.876,1303.827
1.3,209.7525,-86.26,16.6975,106.844,1.516,17.672,102.909,-87.776,-0.974,10590.159,7704.626,0.95,-9032.896,85.538,-100.284,2100.858,328.182,178.732,119.401,65.826,70.91,1303.886
1.325,210.335,-85.7625,16.165,106.945,1.518,17.672,103.39,-87.281,-1.507,10689.492,7617.886,2.271,-9023.931,131.532,-155.809,2101.018,328.156,178.707,119.416,65.818,70.943,1303.94
1.35,210.4275,-76.5125,17.0,107.047,1.52,17.672,103.381,-78.032,-0.672,10687.528,6089.071,0.452,-8067.039,52.438,-69.472,2101.169,328.129,178.682,119.431,65.81,70.976,1303.99
1.375,209.54,-59.9425,18.175,107.148,1.523,17.671,102.392,-61.466,0.504,10484.122,3778.008,0.254,-6293.575,-30.979,51.606,2101.311,328.1,178.655,119.445,65.801,71.008,1304.033
