t,u,v,w
5.62,0.4636,0.0096,0.0266
5.63,0.4636,0.0096,0.0266
5.64,0.4636,0.0096,0.0266
5.65,0.4636,0.0096,0.0266
5.66,0.4636,0.0202,0.0266
5.67,0.5184,-0.0095,0.0266
5.68,0.501,-0.01,0.0266
5.69,0.4838,-0.0095,0.0266
5.7,0.4838,-0.0392,0.0266
5.71,0.4838,-0.024,0.0266
5.72,0.4838,-0.008,0.0266
5.73,0.4838,-0.008,0.0266
5.74,0.4838,-0.008,0.0266
5.75,0.4838,-0.008,0.0266
5.76,0.4838,-0.008,0.0266
5.77,0.4838,-0.008,0.0266
5.78,0.4838,-0.008,0.0266
5.79,0.4838,-0.008,0.027
5.8,0.4838,-0.008,0.0266
5.81,0.4838,-0.008,0.0266
5.82,0.4838,0.008,0.0266
5.83,0.4838,0.008,0.0266
5.84,0.4838,0.0232,0.0266
5.85,0.4838,0.0195,0.0266
5.86,0.4492,0.0195,0.0266
5.87,0.4432,0.0195,0.0266
5.88,0.4432,0.0195,0.0266
5.89,0.4432,0.0195,0.0266
5.9,0.4432,0.0195,0.0266
5.91,0.4432,0.02,0.027
5.92,0.443,0.0195,0.0266
5.93,0.4432,0.0195,0.0266
5.94,0.4432,0.0195,0.0266
5.95,0.4432,0.02,0.0266
5.96,0.4432,0.0195,0.0266
5.97,0.4432,0.0158,0.045
5.98,0.4373,0.003,0.00185
5.99,0.4363,-0.012,0.00185
6,0.4363,-0.012,0.00185
6.01,0.4353,-0.012,0.00185
6.02,0.4233,-0.012,0.00185
6.03,0.4233,-0.012,0.00185
6.04,0.4233,-0.0269,0.00185
6.05,0.4233,0.0308,0.00185
6.06,0.4233,0.0073,0.00185
6.07,0.4233,0.0073,0.00185
6.08,0.4233,0.0073,0.00185
6.09,0.4233,0.0073,0.002
6.1,0.4233,0.0073,0.002
6.11,0.4233,0.0073,0.00185
6.12,0.4233,0.0073,0.00185
6.13,0.4233,0.0073,0.00185
6.14,0.4233,0.0073,0.00185
6.15,0.4233,0.0073,0.00185
6.16,0.4233,0.0073,0.00185
6.17,0.4233,0.0073,0.00185
6.18,0.4233,0.0073,0.00185
6.19,0.4233,0.007,0.00185
6.2,0.4113,0.0073,0.00185
6.21,0.3904,0.0073,0.00185
6.22,0.3904,0.0073,0.00185
6.23,0.3904,0.0073,0.00185
6.24,0.3696,0.0073,0.00185
6.25,0.429,0.0073,0.00185
6.26,0.4883,0.0073,0.00185
6.27,0.4309,-0.0163,-0.0413
6.28,0.3512,-0.0046,-0.02795
6.29,0.3768,-0.0046,-0.02795
6.3,0.3768,-0.0046,-0.02795
6.31,0.3768,-0.0046,-0.02795
6.32,0.3768,-0.0046,-0.02795
6.33,0.3768,0.001,-0.02795
6.34,0.3768,0.0071,-0.02795
6.35,0.3768,-0.0018,-0.02795
6.36,0.3768,-0.003,-0.02795
6.37,0.3768,-0.0042,-0.02795
6.38,0.3768,-0.0042,-0.02795
6.39,0.4024,-0.0042,-0.02795
6.4,0.3614,-0.0065,-0.02795
6.41,0.3614,0.0017,-0.02795
6.42,0.3614,0.0102,-0.02795
6.43,0.3205,-0.0191,-0.02795
6.44,0.3552,-0.0041,-0.02795
6.45,0.3552,-0.0041,-0.02795
6.46,0.3552,-0.0041,-0.02795
6.47,0.3552,-0.0041,-0.02795
6.48,0.3552,-0.0041,-0.028
6.49,0.39,-0.0041,-0.02795
6.5,0.39,-0.0041,-0.02795
6.51,0.39,-0.004,-0.028
6.52,0.39,-0.0041,-0.02795
6.53,0.39,-0.0041,-0.02795
6.54,0.39,-0.0041,-0.02795
6.55,0.39,-0.004,-0.02795
6.56,0.39,-0.0041,-0.02795
6.57,0.39,-0.0041,-0.02795
6.58,0.39,-0.0041,-0.02795
6.59,0.39,0.0108,-0.02795
6.6,0.3901,0.015,-0.028
6.61,0.3999,0.015,-0.02795
6.62,0.3999,0.015,-0.02795
6.63,0.3999,0.015,-0.02795
6.64,0.3999,0.015,-0.02795
6.65,0.3999,0.015,-0.02795
